G200004371	200901	2008-12-03	C	01	J309888830	00017152	00-0000678	299.91	0	0	0	20090100000001	299.91	 0.00	0
G200004371	200901	2009-07-01	C	01	J001241340	080000013863	080000013863	254.83	233.79	15.78	0	20090100000002	0	 9.00	0
G200004371	200901	2010-11-02	C	01	J300004930	15762535	15762535	670.14	614.7	41.49	0	20090100000003	0.12	 9.00	0
G200004371	200901	2009-12-07	C	01	J306111860	000004101	000004101	977.54	896.83	60.53	0	20090100000004	0	 9.00	0
G200004371	200901	2009-12-11	C	01	J070331570	001356678	00-0002626	70	64.22	4.33	0	20090100000005	0	 9.00	0
G200004371	200901	2010-01-11	C	01	J070331570	00135716	00-0002664	26	23.85	1.61	0	20090100000005	0	 9.00	0
G200004371	200901	2009-09-11	C	01	J070331570	00135627	00-0002574	415.99	381.64	25.76	0	20090100000005	0	 9.00	0
G200004371	200901	2008-03-12	C	01	J300270320	00000012	0000012	132164.07	121251.44	8184.47	0	20090100000006	0	 9.00	0
G200004371	200901	2009-07-12	C	01	J300270320	0000018	0000018	24446.18	22427.69	1513.87	0	20090100000006	0	 9.00	0
G200004371	200901	2010-02-12	C	01	J310299760	0136	00-000008	13926.96	12777.03	862.45	0	20090100000007	0	 9.00	0
G200004371	200901	2008-03-12	C	01	J310299760	0135	00-000007	89073.63	81718.93	5516.02	0	20090100000007	0	 9.00	0
G200004371	200901	2008-01-04	C	01	G200040760	200804013102697	200804013102697	27800.51	27800.51	0	0	20090100000008	0	 0.00	0
G200004371	200901	2009-01-11	C	01	J308038900	00161628	00161628	58.99	54.12	3.65	0	20090100000009	0	 9.00	0
G200004371	200901	2009-02-11	C	01	J308038900	00161784	00161784	51.99	47.7	3.22	0	20090100000009	0	 9.00	0
G200004371	200901	2009-02-12	C	01	J001241340	000047928595	000047928595	4681.22	4330.51	263.03	0	20090100000010	433.69	 9.00	0
G200004371	200901	2008-10-12	C	01	J309073970	000014	00-000014	16806.57	15418.87	1040.78	0	20090100000011	0	 9.00	0
G200004371	200901	2009-07-12	C	01	J309073970	000015	00000015	21454.52	19683.05	1328.6	0	20090100000011	0	 9.00	0
G200004371	200901	2008-12-12	C	01	J309321260	0520	00-000020	708.5	650	43.88	0	20090100000014	0	 9.00	0
G200004371	200901	2008-12-12	C	01	V143059060	0000001	00-00000001	1177.2	1080	72.9	0	20090100000015	0	 9.00	0
G200004371	200901	2009-03-12	C	01	J313827680	000043	00-000043	11629.21	10669	720.16	0	20090100000018	0	 9.00	0
G200004371	200901	2009-03-12	C	01	J313827680	000044	00-000044	10130.46	9294	627.35	0	20090100000018	0	 9.00	0
G200004371	200901	2009-09-01	C	01	J313251453  	00046461	00046461	774.01	710.1	47.93	0	20090100000019	0	 9.00	0
G200004371	200901	2009-12-01	C	01	J313251453  	00046583	00046583	774.01	710.1	47.93	0	20090100000020	0	 9.00	0
G200004371	200901	2009-07-01	C	01	J313926850	269800	00-0045604	10300.54	9450.04	637.88	0	20090100000021	0	 9.00	0
G200004371	200901	2010-03-01	C	01	J301862988  	0033834548	0033834548	433.7	397.89	26.86	0	20090100000022	0	 9.00	0
G200004371	200901	2008-06-11	C	01	J302597005  	45519682	00-03749826	131.3	120.46	8.13	0	20090100000048	0	 9.00	0
G200004371	200901	2010-08-01	C	01	J311847693  	208956	00-0074606	1506.4	1382.02	93.29	0	20090100000073	0	 9.00	0
